id,relacionados,name,description,precio,imagen,categorias,linkPago,subcategorias,oferta,colores
189,150 149 187 186 178,Juego Sabana King 130h L Home Class,Cod or:&nbsp; 7730784164171&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;&nbsp; &nbsp;&nbsp; &nbsp; &nbsp;&nbsp;. Juego de sabanas 100% algodón - 130hilos. King size - sabana ajustable: 180x200+40cm. Sabana superior: 270x270cm. 2 fundas: 50x70cm.,2.499,https://nuvex.uy/image/catalog/CATEGORIAS/CAMA/CAMP%204/7730784164140%20-%207730784164157%20-%207730784164164%20-%207730784164171%20(1).jpg,Cama,http://nuvex.uy/index.php?route=product/product&path=4&product_id=189&limit=1000,Sábanas,,
395,394 393,ACOLCHADO RICHMOND PLUS KING SIZE,"""acolchado king size - medida: 240x260cm -&nbsp;. Composición: 100% microfibra - relleno: 100% fibra poliester."".. Varios colores.",2.499,https://nuvex.uy/image/catalog/CATEGORIAS/CAMA/CAMP%206/7730784160692.jpeg,Cama,http://nuvex.uy/index.php?route=product/product&path=4&product_id=395&limit=1000,Acolchados,,
190,198 177,Juego Sabana 2 Plazas 150 H Dohler,"Juego de sabanas estampada dohler 2 plazas - 150 hilos. 100% algodón - gramaje: 90g/m². Tacto suave, excelente calidad. Medidas sabana ajustable: 138 x 188 + 35cm. Sabana superior: 220 x 250cm - funda: 50 x 70cm (x2).",2.499,https://nuvex.uy/image/catalog/CATEGORIAS/CAMA/CAMP%204/7891497291070%20-%207891497290981%20(1).jpg,Cama,http://nuvex.uy/index.php?route=product/product&path=4&product_id=190&limit=1000,Sábanas,,
188,195 193 192 184 176,Juego Sabana Queen 130h Dohler,"Juego de sabanas estampada dohler queen size - 130 hilos. 100% algodón - gramaje: 100g/m². Tacto suave, excelente calidad. Medidas sabana ajustabl e: 158x 198+40cm, sabana superior: 250x270cm - funda: 50x70cm (x2).",2.399,https://nuvex.uy/image/catalog/CATEGORIAS/CAMA/CAMP%204/7900033017828%20(1).jpg,Cama,http://nuvex.uy/index.php?route=product/product&path=4&product_id=188&limit=1000,Sábanas,,
187,150 149 192 189 186 178,Juego Sabana Queen 180h Home Class,Juego de sabanas 100% algodón - 180hilos - queen size -. Sabana ajustable: 160x200+30cm - sabana superior: 240x260cm. 2 fundas: 50x70cm.,2.399,https://nuvex.uy/image/catalog/CATEGORIAS/CAMA/CAMP%204/7730784145071%20-%207730784145095%20-%207730784145118%20-%207730784145132%20(1).jpg,Cama,http://nuvex.uy/index.php?route=product/product&path=4&product_id=187&limit=1000,Sábanas,,
186,150 149 189 187 178,Juego Sabana 2 Plazas 180h Home Class,Juego de sabanas 100% algodón - 180hilos. 2 plazas - sabana ajustable: 140x200+30cm. Sabana superior: 220x260cm. 2 fundas: 50x70cm.,2.299,https://nuvex.uy/image/catalog/CATEGORIAS/CAMA/CAMP%204/7730784145071%20-%207730784145095%20-%207730784145118%20-%207730784145132%20(1).jpg,Cama,http://nuvex.uy/index.php?route=product/product&path=4&product_id=186&limit=1000,Sábanas,,
394,395 393,ACOLCHADO RICHMOND PLUS 2 PLAZAS,"""acolchado de 2 plazas - medida: 220x240cm -&nbsp;. Composición: 100% microfibra - relleno: 100% fibra poliester."".. Varios colores.",2.099,https://nuvex.uy/image/catalog/CATEGORIAS/CAMA/CAMP%206/7730784160692.jpeg,Cama,http://nuvex.uy/index.php?route=product/product&path=4&product_id=394&limit=1000,Acolchados,,
184,195 197 188 176,Juego Sabana Full 130h Dohler,"Juego de sabanas estampada dohler 2 plazas 130 hilos. 100% algodón - gramaje: 100g/m². Tacto suave, excelente calidad. Medidas sabana ajustable: 138x188+35cm, sabana superior: 220x250cm - funda: 50x70cm (x2).",2.199,https://nuvex.uy/image/catalog/CATEGORIAS/CAMA/CAMP%204/7900033017811%20-%207900033017804%20-%207900033017798%20(1).jpg,Cama,http://nuvex.uy/index.php?route=product/product&path=4&product_id=184&limit=1000,Sábanas,,
183,175 176,Juego Sabana 1pza 150h Dohler Estampada,"Juego de sabanas estampada dohler 1 plaza - 150 hilos. 100% algodón - gramaje: 90g/m². Tacto suave, excelente calidad. Medidas sabana ajustable: 100 x 188 + 35cm, sabana superior: 160 x 250cm - funda: 50 x 70cm.",1.899,https://nuvex.uy/image/catalog/CATEGORIAS/CAMA/CAMP%204/7900033037147%20-%207900033037130%20(1).jpg,Cama,http://nuvex.uy/index.php?route=product/product&path=4&product_id=183&limit=1000,Sábanas,,
181,,Colcha Dohler 1pza Lisa,Cubrecama piquet de 1 plaza confeccionado por dohler incluye:. 1 colcha de 160 cm ancho x 250 cm largo y funda de 70 cm largo x 50 cm ancho confeccionado en 100% algodón. Ideal para la media estación y proteger la cama durante el día.,1.899,https://nuvex.uy/image/catalog/CATEGORIAS/CAMA/CAMP%204/7891497871814%20-%207891497871807%20(1).jpg,Cama,http://nuvex.uy/index.php?route=product/product&path=4&product_id=181&limit=1000,Colchas,,
178,149 189 187 186,Juego Sabana 1 Plaza 180h L Home Class,Juego de sabanas 100% algodón - 180hilos. 1 plaza - sabana ajustable: 100x200+30cm. Sabana superior: 180x260cm. 1 funda: 50x70cm.,1.799,https://nuvex.uy/image/catalog/CATEGORIAS/CAMA/CAMP%204/7730784145088%20-%207730784145101.png,Cama,http://nuvex.uy/index.php?route=product/product&path=4&product_id=178&limit=1000,Sábanas,,
175,183 176,Juego Sabana 1pza 130h Dohler Estampada,"Juego de sabanas estampada dohler 1 plaza 130 hilos. 100% algodón - gramaje: 100g/m². Tacto suave, excelente calidad. Medidas sabana ajustable: 100x188+35cm. Sabana superior: 160x250cm. Funda: 50x70cm.",1.599,https://nuvex.uy/image/catalog/CATEGORIAS/CAMA/CAMP%204/7900033017811%20-%207900033017804%20-%207900033017798%20(1).jpg,Cama,http://nuvex.uy/index.php?route=product/product&path=4&product_id=175&limit=1000,Sábanas,,
182,,Colcha Dohler 1 Plaza C/funda Verde,"Cod or:&nbsp; 7891497029970&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;&nbsp; &nbsp;&nbsp; &nbsp; &nbsp;&nbsp;. Colcha lisa con funda dohler tamaño 1 plaza. Material: 100% polyester. Super suave, excelente calidad&nbsp;. Medida colcha: 160x250cm - medida funda: 50x70cm.",1.799,https://nuvex.uy/image/catalog/CATEGORIAS/CAMA/CAMP%204/7891497029970.jpg,Cama,http://nuvex.uy/index.php?route=product/product&path=4&product_id=182&limit=1000,Colchas,,
180,146,Cortina Dormitorio Dohler Rosane,"Cod or:&nbsp; 7891497522310&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;&nbsp; &nbsp;&nbsp; &nbsp; &nbsp;&nbsp;. Cortina dohler translúcida de 200x200cm. Ayuda a controlar tanto la luz como la privacidad, facilitando tu día a día. Por ser una tela que contiene poliéster deja tu espacio con un toque más elegante y sofisticado – gramaje: 204 g/m². Producto de bajo mantenimiento, excelente calidad y durabilidad.",1.599,https://nuvex.uy/image/catalog/CATEGORIAS/CAMA/CAMP%204/7891497522310%207891497631432%20(1).jpg,Cama,http://nuvex.uy/index.php?route=product/product&path=4&product_id=180&limit=1000,,,
146,180,Cortina Dormitorio Dohler Rosane,"Cod or:&nbsp; 7891497631432&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;&nbsp; &nbsp;&nbsp; &nbsp; &nbsp;&nbsp;. Cortina dohler translúcida de 200x230cm. Ayuda a controlar tanto la luz como la privacidad, facilitando tu día a día. Por ser una tela que contiene poliéster deja tu espacio con un toque más elegante y sofisticado. Gramaje: 204 g/m². Producto de bajo mantenimiento, excelente calidad y durabilidad.",1.699,https://nuvex.uy/image/catalog/CATEGORIAS/CAMA/CAMP%204/7891497522310%207891497631432%20(1).jpg,Cama,http://nuvex.uy/index.php?route=product/product&path=4&product_id=146&limit=1000,,,
393,395 394 173,ACOLCHADO RICHMOND PLUS 1 PLAZA,. Acolchado de 1 plaza -. Medida: 150x220cm -. Composición: 100% microfibra - relleno: 100% fibra poliester.. Varios colores.,1.599,https://nuvex.uy/image/catalog/CATEGORIAS/CAMA/CAMP%206/7730784160692.jpeg,Cama,http://nuvex.uy/index.php?route=product/product&path=4&product_id=393&limit=1000,Acolchados,,
177,193 190 176,Juego Sabana 1 Plaza 200 H Dohler,"Cod or:&nbsp; 7891497135343&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;&nbsp; &nbsp;&nbsp; &nbsp; &nbsp;&nbsp;. Juego de sabanas estampada dohler 1 plaza 200 hilos. 100% algodón - gramaje: 112g/m². Tacto suave, excelente calidad. Medidas sabana ajustable: 100 x 188 + 35cm. Sabana superior: 160 x 250cm. Funda: 50 x 70cm.",1.599,https://nuvex.uy/image/catalog/CATEGORIAS/CAMA/CAMP%204/7891497135343%20-%207891497135329.jpg,Cama,http://nuvex.uy/index.php?route=product/product&path=4&product_id=177&limit=1000,Sábanas,,
176,195 197 188 184 183 175 177,Juego Sabana 1pza 130h Dohler,"Juego de sabanas estampada dohler 1 plaza 130 hilos. 100% algodón. Gramaje: 100g/m². Tacto suave, excelente calidad. Medidas sabana ajustable: 100x188+35cm. Sabana superior: 160x250cm. Funda: 50x70cm.",1.599,https://nuvex.uy/image/catalog/CATEGORIAS/CAMA/CAMP%204/7900033017965%20-%207900033017958%20-%207900033017941.jpg,Cama,http://nuvex.uy/index.php?route=product/product&path=4&product_id=176&limit=1000,Sábanas,,
179,,Protector De Colchon Richmond King Size Blanco,"Cod or:&nbsp; 7730784141820&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;&nbsp; &nbsp;&nbsp; &nbsp; &nbsp;&nbsp;. Protector capitoneado, relleno con guata siliconada, tiene elastico para mejor agarre y cobertura del colchón. Excelente calidad y alta performance. Medida: 180x200cm.",1.499,https://nuvex.uy/image/catalog/CATEGORIAS/CAMA/CAMP%204/7730784141790%20-%207730784141806%20-%207730784141813%20-%207730784141820%20(1).jpg,Cama,http://nuvex.uy/index.php?route=product/product&path=4&product_id=179&limit=1000,Protectores,,
174,,Almohada Flor De Algodon,"Cod or:&nbsp; 7896630349892&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;&nbsp; &nbsp;&nbsp; &nbsp; &nbsp;&nbsp;. Almohada fibrasca flor de algodón. Medidas: 50 cm ancho x 90 cm largo x 17 cm espesor. Cubierta 50% algodón y 50% poliéster y relleno 100% poliéster. Con plumas ecológicas relleno de fibra de tacto suave y terso. Con tratamiento de iones de plata que protege contra ácaros, hongos y bacterias.",1.399,https://nuvex.uy/image/catalog/CATEGORIAS/CAMA/CAMP%204/7896630349892%20(1).jpg,Cama,http://nuvex.uy/index.php?route=product/product&path=4&product_id=174&limit=1000,,,
127,,Almohada Fibrasca Plumax,"Cod or:&nbsp; 7896630342350&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;&nbsp; &nbsp;&nbsp; &nbsp; &nbsp;&nbsp;. Almohada fibrasca plumax para fundas de 50x70cm. Relleno de fibra siliconada en forma de perlas. Permite que el producto después del lavado vuelva a su formato original. Revestimiento natural en malla. 100% algodón, con toque suave y transpirable.",999,https://nuvex.uy/image/catalog/CATEGORIAS/CAMA/CAMP%204/7896630342350.jpg,Cama,http://nuvex.uy/index.php?route=product/product&path=4&product_id=127&limit=1000,,,
155,122 116,Frazada King Mic Flannel Home Class,"Frazada king size. Medidas 240x260cm. Composición: 100% poliester, delicada suavidad, excelente calidad, tacto super suave.",1.299,https://nuvex.uy/image/catalog/CATEGORIAS/CAMA/CAMP%204/7730784083762%20-%207730784083823%20-%207730784083885%20(1).jpg,Cama,http://nuvex.uy/index.php?route=product/product&path=4&product_id=155&limit=1000,Frazadas,,
172,,Almohada Nasa Ultra,"Cod or:&nbsp; 7896630344118&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;&nbsp; &nbsp;&nbsp; &nbsp; &nbsp;&nbsp;. Almohada para funda de 50x70cm. Superfirme - mayor durabilidad, conserva la altura y la comodidad por mucho más tiempo. Material forro: 100% polipropileno. Relleno: 100% poliuretano. Cara 1: viscoelastica, absorbe la presión del cuerpo. Cara 2: gomos masajeadores.",979,https://nuvex.uy/image/catalog/CATEGORIAS/CAMA/CAMP%204/7896630344118%20(1).png,Cama,http://nuvex.uy/index.php?route=product/product&path=4&product_id=172&limit=1000,,,
173,393,Colcha Richmond Jacq Pompon 1 Plaza,Colcha con pompon. 100% poliester. Medid as: 150x2 40cm.,1.399,https://nuvex.uy/image/catalog/CATEGORIAS/CAMA/CAMP%204/7730784137397.jpg,Cama,http://nuvex.uy/index.php?route=product/product&path=4&product_id=173&limit=1000,Colchas,,
122,155 116,Frazada 2 Pzas Mic Flannel Home Class,"Frazada de 2 plazas. Medidas 200x240cm. Composición: 100% poliester, delicada suavidad, excelente calidad, tacto super suave..",999,https://nuvex.uy/image/catalog/CATEGORIAS/CAMA/CAMP%204/7730784143954%20-%207730784168575%20(1).jpg,Cama,http://nuvex.uy/index.php?route=product/product&path=4&product_id=122&limit=1000,Frazadas,,
86,88 57 87 156 62,Juego Sabana Queen Size Richmond Estampada,"Juego de sabana queen size estampada. Sabana superior: 240x225cm. Sabana ajustable: 160x200+30cm. 2 fundas: 50x70cm. 100% microfibra. Gran calidad - toque suave, no destiñe.",859,https://nuvex.uy/image/catalog/CATEGORIAS/CAMA/CAMP%204/7730784174378%207730784174392%207730784174422%207730784174453%20CAMA%20JGO%20SABANA%20E%20RICHMOND%20311-2%20HOJAS%20VERDE%20(1).png,Cama,http://nuvex.uy/index.php?route=product/product&path=4&product_id=86&limit=1000,Sábanas,,
116,155 122,Frazada 1 Pza Mic Flannel Home Class,"Frazada de 1 plaza. Medidas 150x240cm. Composición: 100% poliester. Delicada suavidad, excelente calidad, tacto super suave.",909,https://nuvex.uy/image/catalog/CATEGORIAS/CAMA/CAMP%204/7730784154585%20-%207730784154592%20-%207730784154608%20-%20CAMA%20FRAZADA%20MIC.%20FLANNEL%20HOME%20CLASS%20-%20VERDE%20(1).jpg,Cama,http://nuvex.uy/index.php?route=product/product&path=4&product_id=116&limit=1000,Frazadas,,
88,86 89 62,Jgo Sabana 2 Pza Richmond Estampada,"Juego de sábana 2 plazas estampada. Sábana superior: 200x225cm. Sábana ajustable: 140x190+30cm. 2 fundas: 50x70cm. 100% microfibra. &nbsp;gran calidad - toque suave, no destiñe.",779,https://nuvex.uy/image/catalog/CATEGORIAS/CAMA/CAMP%204/7730784170486%20-%207730784170509%20-%207730784170547%20-%207730784170585%20(1).png,Cama,http://nuvex.uy/index.php?route=product/product&path=4&product_id=88&limit=1000,Sábanas,,
